Name,widthRatio,heightRatio,areaRatio,topRatio,middleRatio,symmetryRatio,innerhalfXRatio,baseTriangleAreaRatio,piecelikeTriangleAreaRatio,perimeterRatio,straightLineRatio,sharpAnglesRatio,gentleAnglesRatio
A,0.539,0.625,0.19,0.461,0.178,1,0.732,0.92,0.496,0.449,0.287,0,0.294
B,0.5297295854,0.8277903195,0.2276610593,0.3961070978,0.2197168657,1,0.7864636858,0.8939269589,0.608983178,0.4611674192,0.120711938,0.2317603651,0.3165966356
C,0.5306302047,0.7688558568,0.1973235709,0.344345978,0.2350192305,1,0.7947734648,0.9519098446,0.6597341206,0.4720169371,0.1368667968,0.1396709591,0.314401376
K,0.5484426741,0.8273649592,0.2407060618,0.3429556521,0.2573423412,0.9352595175,0.7817919713,0.9199120226,0.6361017027,0.4597294773,0.07824947232,0.1642202054,0.4203526366
P,0.5545358614,0.8144880462,0.2309911622,0.2824443857,0.301466216,0.905812894,0.816030668,0.9672027042,0.7028586318,0.436,0.01555769162,0.08924636462,0.5035748388
